stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
558,,"VICTOIRE",,49.124987,6.153064,,https://services.lemet.fr/fr/biv/arret/1494,0,,1
14,,"VIEILLES EAUX",,49.103859,6.108081,,https://services.lemet.fr/fr/biv/arret/68448,0,,2
15,,"VIEILLES EAUX",,49.103770,6.108311,,https://services.lemet.fr/fr/biv/arret/68448,0,,2
421,,"LES VIGNES",,49.129368,6.145365,,https://services.lemet.fr/fr/biv/arret/26298,0,,2
417,,"LES VIGNES",,49.128849,6.145215,,https://services.lemet.fr/fr/biv/arret/26298,0,,2
950,,"VIGNEULLES",,49.146972,6.121133,,https://services.lemet.fr/fr/biv/arret/69990,0,,2
5080,,"VIGNOTTES",,49.041999,6.156723,,https://services.lemet.fr/fr/biv/arret/26277,0,,1
5079,,"VIGNOTTES",,49.041971,6.156648,,https://services.lemet.fr/fr/biv/arret/26277,0,,1
217,,"VILLAS",,49.112731,6.157751,,https://services.lemet.fr/fr/biv/arret/1496,0,,1
204,,"VILLAS",,49.112647,6.157929,,https://services.lemet.fr/fr/biv/arret/1496,0,,1
650,,"VILLERS",,49.077253,6.324477,,https://services.lemet.fr/fr/biv/arret/7220,0,,1
651,,"VILLERS",,49.077215,6.323694,,https://services.lemet.fr/fr/biv/arret/7220,0,,1
758,,"VILLERS-L'ORME",,49.151940,6.247575,,https://services.lemet.fr/fr/biv/arret/7763,0,,2
6100,,"ST-VINCENT",,49.123270,6.171396,,https://services.lemet.fr/fr/biv/arret/7405,0,,1
6105,,"ST-VINCENT",,49.123891,6.172134,,https://services.lemet.fr/fr/biv/arret/7405,0,,1
610,,"VOLO",,49.125353,6.206442,,https://services.lemet.fr/fr/biv/arret/1558,0,,2
596,,"VOLO",,49.125279,6.206402,,https://services.lemet.fr/fr/biv/arret/1558,0,,2
504,,"VOLONTAIRES",,49.086565,6.156623,,https://services.lemet.fr/fr/biv/arret/1548,0,,2
533,,"VOLONTAIRES",,49.086587,6.156651,,https://services.lemet.fr/fr/biv/arret/1548,0,,2
80,,"VOSGES",,49.093539,6.132516,,https://services.lemet.fr/fr/biv/arret/7466,0,,1
72,,"VOSGES",,49.093670,6.132950,,https://services.lemet.fr/fr/biv/arret/7466,0,,1
865,,"WAVES ACTISUD",,49.080900,6.102280,,https://services.lemet.fr/fr/biv/arret/26320,0,,1
636,,"WOIPPY CHATEAU",,49.152951,6.145005,,https://services.lemet.fr/fr/biv/arret/7781,0,,1
634,,"WOIPPY CHATEAU",,49.152567,6.145716,,https://services.lemet.fr/fr/biv/arret/7781,0,,1
6010,,"P+R WOIPPY",,49.150349,6.173323,,https://services.lemet.fr/fr/biv/arret/1627,0,,1
6015,,"P+R WOIPPY",,49.150349,6.173321,,https://services.lemet.fr/fr/biv/arret/1627,0,,1
637,,"WOIPPY-HOTEL DE VILLE",,49.151276,6.150050,,https://services.lemet.fr/fr/biv/arret/1447,0,,2
633,,"WOIPPY-HOTEL DE VILLE",,49.151276,6.150049,,https://services.lemet.fr/fr/biv/arret/1447,0,,2
705,,"ZAC D'AUGNY",,49.075077,6.106751,,https://services.lemet.fr/fr/biv/arret/6954,0,,2
708,,"ZAC D'AUGNY",,49.074174,6.107641,,https://services.lemet.fr/fr/biv/arret/6954,0,,2
864,,"ZAC LES GRAVIERES",,49.077468,6.113065,,https://services.lemet.fr/fr/biv/arret/6955,0,,2
878,,"ZAC PELTRE",,49.071125,6.228467,,https://services.lemet.fr/fr/biv/arret/105992,0,,1
877,,"ZAC PELTRE",,49.070906,6.228486,,https://services.lemet.fr/fr/biv/arret/105992,0,,1
875,,"ZONE HERGOTT",,49.159749,6.159053,,https://services.lemet.fr/fr/biv/arret/27870,0,,2
884,,"ZONE HERGOTT",,49.158829,6.158544,,https://services.lemet.fr/fr/biv/arret/27870,0,,2
